nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,17.7042,0.0105080
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,17.7042,0.0190866
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,17.7042,0.0391303
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,33.7042, 0.0019763
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,33.7042,0.0029433
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,33.7042,0.0041326
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,33.7042,0.0066872
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,33.7042,0.0115170
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,33.7042,0.0199661
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,33.7042,0.0373392
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,1.80418,0.0167685
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,1.80418,0.0172871
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,1.80418,0.0178860
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,1.80418,0.0189693
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,1.80418,0.0215568
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,1.80418,0.0280659
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,1.80418,0.0435684
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,2.70418, 0.0318931
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,2.70418,0.0319284
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,2.70418,0.0321627
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,2.70418,0.0328955
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,2.70418,0.0348970
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,2.70418,0.0390729
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,2.70418,0.0512354
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,3.70418, 0.0635439
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,3.70418,0.0635439
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,3.70418,0.0635439
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,3.70418,0.0635439
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,3.70418,0.0636209
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,3.70418,0.0669827
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,3.70418,0.0746184
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,5.70418, 0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,5.70418,0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,5.70418,0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,5.70418,0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,5.70418,0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,5.70418,0.1273249
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,5.70418,0.1314996
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,9.70418, 0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,9.70418,0.2550367
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,17.7042, 0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,17.7042,0.5097884
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.016,33.7042, 1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.032,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.064,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.128,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.256,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,0.512,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,1,0,0,1.024,33.7042,1.0209239
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.016,1.80418,0.0013208
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.032,1.80418,0.0021008
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.064,1.80418,0.0029857
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.128,1.80418,0.0047844
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.256,1.80418,0.0082146
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.512,1.80418,0.0138773
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1.024,1.80418,0.0236973
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.016,2.70418, 0.0015140
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.032,2.70418,0.0023296
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.064,2.70418,0.0033269
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.128,2.70418,0.0052569
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.256,2.70418,0.0092936
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.512,2.70418,0.0165775
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1.024,2.70418,0.0284143
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.016,3.70418, 0.0017373
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.032,3.70418,0.0026112
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.064,3.70418,0.0036116
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.128,3.70418,0.0055308
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0.256,3.70418,0.0098794
